QuestionId_01,,Not a LED.,Green LED,Power Switch,Red LED,Tricolor LED,Incorrect,Correct,Incorrect,Incorrect,LED_01,LED 01,,4,FALSE,Power Switch,Green LED,Power Switch,Red LED,Tricolor LED,1,100
QuestionId_02,,Requires electronic circuits to render different colors.,Green LED,Power Switch,Red LED,Tricolor LED,Incorrect,Incorrect,Incorrect,Correct,LED_02,LED 02,,3,FALSE,Tricolor LED,Green LED,Power Switch,Red LED,Tricolor LED,1,100
QuestionId_03,,First commercially used for mechanical indicators.,Green LED,Power Switch,Red LED,Tricolor LED,Incorrect,Incorrect,Correct,Incorrect,LED_03,LED 03,,2,FALSE,Red LED,Green LED,Power Switch,Red LED,Tricolor LED,1,100
QuestionId_04,,Has lowest typical efficiency (W/W).,Green LED,Power Switch,Red LED,Tricolor LED,Correct,Incorrect,Incorrect,Incorrect,LED_04,LED 04,,1,FALSE,Green LED,Green LED,Power Switch,Red LED,Tricolor LED,1,100
QuestionId_05,,Uses a four-wire connection.,Green LED,Power Switch,Red LED,Tricolor LED,Incorrect,Incorrect,Incorrect,Correct,LED_05,LED 05,,3,FALSE,Tricolor LED,Green LED,Power Switch,Red LED,Tricolor LED,1,100
QuestionId_06,,Also known as a condenser.,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,Correct,Incorrect,Incorrect,Incorrect,Breadboard_06,Breadboard 06,,1,FALSE,Capacitor Lg 001,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,1,100
QuestionId_07,,Used for tuning and circuit calibration.,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,Incorrect,Incorrect,Incorrect,Correct,Breadboard_07,Breadboard 07,,3,FALSE,Trim Potentiometer,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,1,100
QuestionId_08,,Transforms energy between circuits through electromagnetic induction.,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,Incorrect,Incorrect,Correct,Incorrect,Breadboard_08,Breadboard 08,,2,FALSE,Transformer,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,1,100
QuestionId_09,,Rotary actuator controlling angular position as well as velocity and acceleration.,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,Incorrect,Correct,Incorrect,Incorrect,Breadboard_09,Breadboard 09,,4,FALSE,Servomotor,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,1,100
QuestionId_10,,Flux confined within its magnetic core.,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,Incorrect,Incorrect,Correct,Incorrect,Breadboard_10,Breadboard 10,,2,FALSE,Transformer,Capacitor Lg 001,Servomotor,Transformer,Trim Potentiometer,1,100
QuestionId_11,,Compatible with ethernet cards.,PCI Slots,PS/2 Ports,RAM,VGA Connector,Incorrect,Correct,Incorrect,Incorrect,Motherboard_11,Motherboard 11,,1,FALSE,PCI Slots,PCI Slots,PS/2 Ports,RAM,VGA Connector,1,100
QuestionId_12,,Keyboard and mouse data connectors.,PCI Slots,PS/2 Ports,RAM,VGA Connector,Incorrect,Incorrect,Correct,Incorrect,Motherboard_12,Motherboard 12,,2,FALSE,PS/2 Ports,PCI Slots,PS/2 Ports,RAM,VGA Connector,1,100
QuestionId_13,,D-subminiature connector.,PCI Slots,PS/2 Ports,RAM,VGA Connector,Incorrect,Incorrect,Incorrect,Correct,Motherboard_13,Motherboard 13,,4,FALSE,VGA Connector,PCI Slots,PS/2 Ports,RAM,VGA Connector,1,100
QuestionId_14,,Local parallel computer bus for attaching hardware devices.,PCI Slots,PS/2 Ports,RAM,VGA Connector,Incorrect,Correct,Incorrect,Incorrect,Motherboard_14,Motherboard 14,,1,FALSE,PCI Slots,PCI Slots,PS/2 Ports,RAM,VGA Connector,1,100
QuestionId_15,,Volatile memory; stored information lost if power removed.,PCI Slots,PS/2 Ports,RAM,VGA Connector,Correct,Incorrect,Incorrect,Incorrect,Motherboard_15,Motherboard 15,,3,FALSE,RAM,PCI Slots,PS/2 Ports,RAM,VGA Connector,1,100
